hotel_name,address,score_text,hotel_url,hotel_name_detail,address_detail,lat,lng,star_rating,rating_value,rating_count,description,metadata_json
Bao House - cơ sở Trịnh Công Sơn,"87 P. Trịnh Công Sơn số 8, ngõ 87, Hà Nội, Việt Nam, Hà Nội",,https://www.booking.com/hotel/vn/bao-house-tay-ho.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1509080602_422671707_2_0_0&highlighted_blocks=1509080602_422671707_2_0_0&matching_block_id=1509080602_422671707_2_0_0&sr_pri_blocks=1509080602_422671707_2_0_0__76700000&from=searchresults,Bao House - cơ sở Trịnh Công Sơn,"87 P. Trịnh Công Sơn số 8, ngõ 87, Hà Nội, Việt Nam, Hà Nội",21.0781617898855,105.817509032482,,,,"Nằm ở Hà Nội, cách Hồ Tây 4.8 km, Bao House - cơ sở Trịnh Công Sơn cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.","{""name"": ""Bao House - cơ sở Trịnh Công Sơn"", ""@context"": ""http://schema.org"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/765567572.jpg?k=be44724e9042d8042c91a4aeb18d63c1fb9b5ffb6d5eb055b4098a30e82e1f48&o=&hp=1"", ""address"": {""addressRegion"": ""Hà Nội"", ""streetAddress"": ""87 P. Trịnh Công Sơn số 8, ngõ 87, Hà Nội, Việt Nam"", ""addressLocality"": ""87 P. Trịnh Công Sơn số 8, ngõ 87"", ""@type"": ""PostalAddress"", ""addressCountry"": ""Việt Nam"", ""postalCode"": """"}, ""priceRange"": null, ""@type"": ""Hotel"", ""url"": ""https://www.booking.com/hotel/vn/bao-house-tay-ho.vi.html"", ""description"": ""Nằm ở Hà Nội, cách Hồ Tây 4.8 km, Bao House - cơ sở Trịnh Công Sơn cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.""}"
Hanoi Spoon Boutique Hotel,"19A Nguyen Van To, Cua Dong, Hoan Kiem, 100000 Hà Nội, Việt Nam, Hà Nội, 100000",10,https://www.booking.com/hotel/vn/hanoi-spoon-boutique.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1589996101_430229091_2_0_0&highlighted_blocks=1589996101_430229091_2_0_0&matching_block_id=1589996101_430229091_2_0_0&sr_pri_blocks=1589996101_430229091_2_0_0__117523600&from=searchresults,Hanoi Spoon Boutique Hotel,"19A Nguyen Van To, Cua Dong, Hoan Kiem, 100000 Hà Nội, Việt Nam, Hà Nội, 100000",21.0314002441799,105.845364808916,,10.0,,"Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Hanoi Spoon Boutique Hotel cung cấp các phòng có điều hòa, khu vườn, Wi-Fi miễn phí và sân hiên.","{""@type"": ""Hotel"", ""name"": ""Hanoi Spoon Boutique Hotel"", ""aggregateRating"": {""bestRating"": 10, ""@type"": ""AggregateRating"", ""ratingValue"": 10.0, ""reviewCount"": 5}, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/829806463.jpg?k=643e4d58ceea8b9082bc2c119b60f8e25ce20da86df4182ef29cecb006b07d43&o=&hp=1"", ""description"": ""Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Hanoi Spoon Boutique Hotel cung cấp các phòng có điều hòa, khu vườn, Wi-Fi miễn phí và sân hiên."", ""priceRange"": null, ""url"": ""https://www.booking.com/hotel/vn/hanoi-spoon-boutique.vi.html"", ""@context"": ""http://schema.org"", ""address"": {""streetAddress"": ""19A Nguyen Van To, Cua Dong, Hoan Kiem, 100000 Hà Nội, Việt Nam"", ""addressLocality"": ""19A Nguyen Van To, Cua Dong, Hoan Kiem"", ""postalCode"": ""100000"", ""@type"": ""PostalAddress"", ""addressCountry"": ""Việt Nam"", ""addressRegion"": ""Hà Nội""}}"
Sam Sam Studio - 2 Dragons WestLake - Washing machine,"22 Ng. 603 Đ. Lạc Long Quân, Quận Tây Hồ, 100000 Hà Nội, Việt Nam, Hà Nội, 100000","9,1",https://www.booking.com/hotel/vn/sam-sam-studio-2-dragons-westlake-washing-machine.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1368346905_409124407_2_0_0&highlighted_blocks=1368346905_409124407_2_0_0&matching_block_id=1368346905_409124407_2_0_0&sr_pri_blocks=1368346905_409124407_2_0_0__54327300&from=searchresults,Sam Sam Studio - 2 Dragons WestLake - Washing machine,"22 Ng. 603 Đ. Lạc Long Quân, Quận Tây Hồ, 100000 Hà Nội, Việt Nam, Hà Nội, 100000",21.0672364599609,105.809772575669,,9.1,,"Nằm cách Bảo tàng dân tộc học Việt Nam 4.1 km, Sam Sam Studio - 2 Dragons WestLake - Washing machine cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe...","{""name"": ""Sam Sam Studio - 2 Dragons WestLake - Washing machine"", ""description"": ""Nằm cách Bảo tàng dân tộc học Việt Nam 4.1 km, Sam Sam Studio - 2 Dragons WestLake - Washing machine cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe..."", ""aggregateRating"": {""ratingValue"": 9.1, ""reviewCount"": 132, ""bestRating"": 10, ""@type"": ""AggregateRating""}, ""address"": {""streetAddress"": ""22 Ng. 603 Đ. Lạc Long Quân, Quận Tây Hồ, 100000 Hà Nội, Việt Nam"", ""addressLocality"": ""22 Ng. 603 Đ. Lạc Long Quân"", ""addressRegion"": ""Hà Nội"", ""@type"": ""PostalAddress"", ""addressCountry"": ""Việt Nam"", ""postalCode"": ""100000""}, ""priceRange"": null, ""@context"": ""http://schema.org"", ""@type"": ""Hotel"", ""url"": ""https://www.booking.com/hotel/vn/sam-sam-studio-2-dragons-westlake-washing-machine.vi.html"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/652173876.jpg?k=c6fa00e3b7e8a755ebad43b6bc77c6b2dc7f2622ccb823aa7bba7d819651632f&o=&hp=1""}"
Keypad Hotel - Linh Lang,"35/26 Ng. 81 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội 100000, Việt Nam, Quận Ba Đình, Hà Nội, Việt Nam, Hà Nội","8,6",https://www.booking.com/hotel/vn/keypad-linh-lang.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1284588001_401393741_2_0_0&highlighted_blocks=1284588001_401393741_2_0_0&matching_block_id=1284588001_401393741_2_0_0&sr_pri_blocks=1284588001_401393741_2_0_0__79626200&from=searchresults,Keypad Hotel - Linh Lang,"35/26 Ng. 81 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội 100000, Việt Nam, Quận Ba Đình, Hà Nội, Việt Nam, Hà Nội",21.0338328653516,105.811189337916,,8.6,,"Keypad Hotel - Linh Lang là chỗ nghỉ 3 sao nằm ở Hà Nội, cách Trung tâm thương mại Vincom Nguyễn Chí Thanh 18 phút đi bộ và Bảo tàng dân tộc học Việt Nam...","{""priceRange"": null, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/599275510.jpg?k=c54ca9ff7ea755148be6bd033c1bb968650674ad7c683758679b588f9a5de002&o=&hp=1"", ""@type"": ""Hotel"", ""name"": ""Keypad Hotel - Linh Lang"", ""url"": ""https://www.booking.com/hotel/vn/keypad-linh-lang.vi.html"", ""address"": {""postalCode"": """", ""addressLocality"": ""35/26 Ng. 81 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội 100000, Việt Nam"", ""addressRegion"": ""Hà Nội"", ""@type"": ""PostalAddress"", ""streetAddress"": ""35/26 Ng. 81 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội 100000, Việt Nam, Quận Ba Đình, Hà Nội, Việt Nam"", ""addressCountry"": ""Việt Nam""}, ""aggregateRating"": {""bestRating"": 10, ""@type"": ""AggregateRating"", ""reviewCount"": 53, ""ratingValue"": 8.6}, ""description"": ""Keypad Hotel - Linh Lang là chỗ nghỉ 3 sao nằm ở Hà Nội, cách Trung tâm thương mại Vincom Nguyễn Chí Thanh 18 phút đi bộ và Bảo tàng dân tộc học Việt Nam..."", ""@context"": ""http://schema.org""}"
The Dahlia Hanoi,"23 Đ. Lâm Du 23 Đường Lâm Du, 23746 Hà Nội, Việt Nam, Hà Nội, 23746",,https://www.booking.com/hotel/vn/the-dahlia-hanoi.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1514412301_423170829_2_1_0&highlighted_blocks=1514412301_423170829_2_1_0&matching_block_id=1514412301_423170829_2_1_0&sr_pri_blocks=1514412301_423170829_2_1_0__56000000&from=searchresults,The Dahlia Hanoi,"23 Đ. Lâm Du 23 Đường Lâm Du, 23746 Hà Nội, Việt Nam, Hà Nội, 23746",21.0389421520845,105.86756607989,,10.0,,"Nằm tại vị trí thuận tiện ở Quận Long Biên, Hà Nội, The Dahlia Hanoi tọa lạc cách Nhà hát múa rối Thăng Long 2.5 km, Ô Quan Chưởng 3 km và Hồ Hoàn Kiếm...","{""@context"": ""http://schema.org"", ""address"": {""addressLocality"": ""23 Đ. Lâm Du 23 Đường Lâm Du"", ""postalCode"": ""23746"", ""addressRegion"": ""Hà Nội"", ""@type"": ""PostalAddress"", ""addressCountry"": ""Việt Nam"", ""streetAddress"": ""23 Đ. Lâm Du 23 Đường Lâm Du, 23746 Hà Nội, Việt Nam""}, ""@type"": ""Hotel"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/832146148.jpg?k=6be95990696bf9d145e9bd4129af1bce1cf65cedf24ea6d33544d614d59a8fc0&o=&hp=1"", ""name"": ""The Dahlia Hanoi"", ""aggregateRating"": {""reviewCount"": 1, ""bestRating"": 10, ""@type"": ""AggregateRating"", ""ratingValue"": 10.0}, ""url"": ""https://www.booking.com/hotel/vn/the-dahlia-hanoi.vi.html"", ""priceRange"": null, ""description"": ""Nằm tại vị trí thuận tiện ở Quận Long Biên, Hà Nội, The Dahlia Hanoi tọa lạc cách Nhà hát múa rối Thăng Long 2.5 km, Ô Quan Chưởng 3 km và Hồ Hoàn Kiếm...""}"
Nagomi Apartment,"Nagomi Apartment House no 25 Alley 58/12 P. Đào Tấn, Ngọc Khánh, Ba Đình, Hà Nội, Vietnam, 100000 Hà Nội, Việt Nam, 100000","8,4",https://www.booking.com/hotel/vn/nagomi-apartment-hanoi.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1478102803_421327439_2_0_0_1205920&highlighted_blocks=1478102803_421327439_2_0_0_1205920&matching_block_id=1478102803_421327439_2_0_0_1205920&sr_pri_blocks=1478102803_421327439_2_0_0_1205920_66865500&from=searchresults,Nagomi Apartment,"Nagomi Apartment House no 25 Alley 58/12 P. Đào Tấn, Ngọc Khánh, Ba Đình, Hà Nội, Vietnam, 100000 Hà Nội, Việt Nam, 100000",21.0333667545503,105.808086126923,,8.5,,"Cách Bảo tàng dân tộc học Việt Nam 18 phút đi bộ, Nagomi Apartment có ban công.","{""description"": ""Cách Bảo tàng dân tộc học Việt Nam 18 phút đi bộ, Nagomi Apartment có ban công."", ""@context"": ""http://schema.org"", ""name"": ""Nagomi Apartment"", ""priceRange"": null, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/757481564.jpg?k=4d8e7b2e2d86c67b8a1cff079830117400242d6efae134606153b7f2387a75fa&o=&hp=1"", ""@type"": ""Hotel"", ""address"": {""addressRegion"": ""Hà Nội"", ""streetAddress"": ""Nagomi Apartment House no 25 Alley 58/12 P. Đào Tấn, Ngọc Khánh, Ba Đình, Hà Nội, Vietnam, 100000 Hà Nội, Việt Nam"", ""addressLocality"": ""Nagomi Apartment House no 25 Alley 58/12 P. Đào Tấn, Ngọc Khánh, Ba Đình, Hà Nội, Vietnam"", ""@type"": ""PostalAddress"", ""postalCode"": ""100000"", ""addressCountry"": ""Việt Nam""}, ""aggregateRating"": {""@type"": ""AggregateRating"", ""reviewCount"": 86, ""bestRating"": 10, ""ratingValue"": 8.5}, ""url"": ""https://www.booking.com/hotel/vn/nagomi-apartment-hanoi.vi.html""}"
Margaery Boutique Apartment,"134 Từ Hoa Công Chúa, Quận Tây Hồ, 100000 Hà Nội, Việt Nam, Hà Nội, 100000","8,1",https://www.booking.com/hotel/vn/skyon9-apartment-westlake.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1342104211_414199313_2_0_0_1097667&highlighted_blocks=1342104211_414199313_2_0_0_1097667&matching_block_id=1342104211_414199313_2_0_0_1097667&sr_pri_blocks=1342104211_414199313_2_0_0_1097667_74325600&from=searchresults,Margaery Boutique Apartment,"134 Từ Hoa Công Chúa, Quận Tây Hồ, 100000 Hà Nội, Việt Nam, Hà Nội, 100000",21.0589562,105.8293718,,8.1,,"Tọa lạc ở Hà Nội và cách Hồ Tây 2.4 km, Margaery Boutique Apartment cung cấp sân hiên, các phòng không hút thuốc, Wi-Fi miễn phí và quầy bar.","{""address"": {""streetAddress"": ""134 Từ Hoa Công Chúa, Quận Tây Hồ, 100000 Hà Nội, Việt Nam"", ""addressLocality"": ""134 Từ Hoa Công Chúa"", ""@type"": ""PostalAddress"", ""addressRegion"": ""Hà Nội"", ""postalCode"": ""100000"", ""addressCountry"": ""Việt Nam""}, ""name"": ""Margaery Boutique Apartment"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/753602065.jpg?k=c3651f737a4b537a595a3f0f2ce7e83280e1fd301e7a43bd6b2d8d884b473801&o=&hp=1"", ""description"": ""Tọa lạc ở Hà Nội và cách Hồ Tây 2.4 km, Margaery Boutique Apartment cung cấp sân hiên, các phòng không hút thuốc, Wi-Fi miễn phí và quầy bar."", ""url"": ""https://www.booking.com/hotel/vn/skyon9-apartment-westlake.vi.html"", ""aggregateRating"": {""@type"": ""AggregateRating"", ""ratingValue"": 8.1, ""reviewCount"": 131, ""bestRating"": 10}, ""@context"": ""http://schema.org"", ""priceRange"": null, ""@type"": ""Hotel""}"
Label6 To Ngoc Van - Crescendo Boutique Studio,"Label6 To Ngoc Van (Crescendo), Quận Tây Hồ, 100000 Hà Nội, Việt Nam, Hà Nội, 100000","8,6",https://www.booking.com/hotel/vn/label6-to-ngoc-van-crescendo-boutique-studio.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1451288203_416486160_2_0_0&highlighted_blocks=1451288203_416486160_2_0_0&matching_block_id=1451288203_416486160_2_0_0&sr_pri_blocks=1451288203_416486160_2_0_0__67050000&from=searchresults,Label6 To Ngoc Van - Crescendo Boutique Studio,"Label6 To Ngoc Van (Crescendo), Quận Tây Hồ, 100000 Hà Nội, Việt Nam, Hà Nội, 100000",21.0675729,105.8234589,,8.6,,"Tọa lạc ở Hà Nội, Label6 To Ngoc Van - Crescendo Boutique Studio cung cấp Wi-Fi miễn phí và cách Hồ Tây 3.4 km cũng như Đền Quán Thánh 4.5 km.","{""@context"": ""http://schema.org"", ""@type"": ""Hotel"", ""priceRange"": null, ""address"": {""addressCountry"": ""Việt Nam"", ""@type"": ""PostalAddress"", ""addressRegion"": ""Hà Nội"", ""addressLocality"": ""Label6 To Ngoc Van (Crescendo)"", ""streetAddress"": ""Label6 To Ngoc Van (Crescendo), Quận Tây Hồ, 100000 Hà Nội, Việt Nam"", ""postalCode"": ""100000""}, ""url"": ""https://www.booking.com/hotel/vn/label6-to-ngoc-van-crescendo-boutique-studio.vi.html"", ""description"": ""Tọa lạc ở Hà Nội, Label6 To Ngoc Van - Crescendo Boutique Studio cung cấp Wi-Fi miễn phí và cách Hồ Tây 3.4 km cũng như Đền Quán Thánh 4.5 km."", ""aggregateRating"": {""@type"": ""AggregateRating"", ""bestRating"": 10, ""reviewCount"": 82, ""ratingValue"": 8.6}, ""name"": ""Label6 To Ngoc Van - Crescendo Boutique Studio"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/708460932.jpg?k=e156703703a9230ab1075e1663b31022c10f345ba2b07bef3ce4093345912ed8&o=&hp=1""}"
The Little Hanoi - Fresh Home - Centered,"Số 2 Ngõ 72/12 phố Dương Quảng Hàm, Hà Nội, Việt Nam, Hà Nội","8,8",https://www.booking.com/hotel/vn/the-little-hanoi-fresh-home-centered.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1474874903_418891662_2_0_0&highlighted_blocks=1474874903_418891662_2_0_0&matching_block_id=1474874903_418891662_2_0_0&sr_pri_blocks=1474874903_418891662_2_0_0__49054800&from=searchresults,The Little Hanoi - Fresh Home - Centered,"Số 2 Ngõ 72/12 phố Dương Quảng Hàm, Hà Nội, Việt Nam, Hà Nội",21.034789007261,105.800820944879,,8.8,,"Có sân hiên, The Little Hanoi - Fresh Home - Centered tọa lạc ở quận Cau Giay District thuộc Hà Nội, cách Bảo tàng dân tộc học Việt Nam chưa đến 1 km và...","{""name"": ""The Little Hanoi - Fresh Home - Centered"", ""url"": ""https://www.booking.com/hotel/vn/the-little-hanoi-fresh-home-centered.vi.html"", ""@context"": ""http://schema.org"", ""aggregateRating"": {""ratingValue"": 8.8, ""reviewCount"": 72, ""bestRating"": 10, ""@type"": ""AggregateRating""}, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/731277821.jpg?k=741cfb29fbfd18f13171d43b9d0a74ee92b7e1bcea7cc7e798af4ddcaa722571&o=&hp=1"", ""address"": {""@type"": ""PostalAddress"", ""addressLocality"": ""Số 2 Ngõ 72/12 phố Dương Quảng Hàm"", ""streetAddress"": ""Số 2 Ngõ 72/12 phố Dương Quảng Hàm, Hà Nội, Việt Nam"", ""addressRegion"": ""Hà Nội"", ""addressCountry"": ""Việt Nam"", ""postalCode"": """"}, ""description"": ""Có sân hiên, The Little Hanoi - Fresh Home - Centered tọa lạc ở quận Cau Giay District thuộc Hà Nội, cách Bảo tàng dân tộc học Việt Nam chưa đến 1 km và..."", ""priceRange"": null, ""@type"": ""Hotel""}"
Urchin Apartment,"111 Phố Nhật Chiêu Alley 111 Nhat Chieu, House no 53, Quận Tây Hồ, Hà Nội, Việt Nam, Hà Nội","7,9",https://www.booking.com/hotel/vn/urchin-apartment.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=1300153101_402904070_2_0_0&highlighted_blocks=1300153101_402904070_2_0_0&matching_block_id=1300153101_402904070_2_0_0&sr_pri_blocks=1300153101_402904070_2_0_0__63148800&from=searchresults,Urchin Apartment,"111 Phố Nhật Chiêu Alley 111 Nhat Chieu, House no 53, Quận Tây Hồ, Hà Nội, Việt Nam, Hà Nội",21.0733545312097,105.81469623701,,7.9,,"Nằm ở Hà Nội, Urchin Apartment cung cấp chỗ nghỉ đầy đủ tiện nghi với Wi-Fi miễn phí, cách Hồ Tây 4.8 km và Bảo tàng dân tộc học Việt Nam 5.5 km.","{""@type"": ""Hotel"", ""name"": ""Urchin Apartment"", ""aggregateRating"": {""@type"": ""AggregateRating"", ""ratingValue"": 7.9, ""bestRating"": 10, ""reviewCount"": 73}, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/614865629.jpg?k=4e0e7b04c0b069fe732dfa88b9e883d9a9d6de2a88faaae73b76242435567ba8&o=&hp=1"", ""url"": ""https://www.booking.com/hotel/vn/urchin-apartment.vi.html"", ""description"": ""Nằm ở Hà Nội, Urchin Apartment cung cấp chỗ nghỉ đầy đủ tiện nghi với Wi-Fi miễn phí, cách Hồ Tây 4.8 km và Bảo tàng dân tộc học Việt Nam 5.5 km."", ""address"": {""addressRegion"": ""Hà Nội"", ""addressLocality"": ""111 Phố Nhật Chiêu Alley 111 Nhat Chieu, House no 53"", ""postalCode"": """", ""streetAddress"": ""111 Phố Nhật Chiêu Alley 111 Nhat Chieu, House no 53, Quận Tây Hồ, Hà Nội, Việt Nam"", ""@type"": ""PostalAddress"", ""addressCountry"": ""Việt Nam""}, ""priceRange"": null, ""@context"": ""http://schema.org""}"
Louisland Hanoi Hotel,"23 Nguyễn Ngọc Vũ Trung Hòa, Cầu Giấy, Hà Nội, Cau Giay, Hà Nội, Việt Nam","8,9",https://www.booking.com/hotel/vn/louisland.vi.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9oYV9ub2ksIHZpZXQgbmFtSCpYBGj0AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC75HDzQbAAgHSAiRiMGRiNjQwZC1jZGYxLTQ2NWMtYWVmZC00YmYxZWMwNGRlZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=42cc0c371b3202cf&srepoch=1773193475&all_sr_blocks=385774301_402086515_2_0_0&highlighted_blocks=385774301_402086515_2_0_0&matching_block_id=385774301_402086515_2_0_0&sr_pri_blocks=385774301_402086515_2_0_0__65436000&from=searchresults,Louisland Hanoi Hotel,"23 Nguyễn Ngọc Vũ Trung Hòa, Cầu Giấy, Hà Nội, Cau Giay, Hà Nội, Việt Nam",21.00935,105.811755,,8.9,,"Nhìn ra thành phố, Louisland Hanoi Hotel tọa lạc ở quận Cau Giay District thuộc Hà Nội, cách Trung tâm thương mại Vincom Nguyễn Chí Thanh 2.","{""address"": {""streetAddress"": ""23 Nguyễn Ngọc Vũ Trung Hòa, Cầu Giấy, Hà Nội, Cau Giay, Hà Nội, Việt Nam"", ""addressRegion"": ""Hà Nội"", ""addressCountry"": ""Việt Nam"", ""addressLocality"": ""23 Nguyễn Ngọc Vũ Trung Hòa, Cầu Giấy, Hà Nội"", ""postalCode"": """", ""@type"": ""PostalAddress""}, ""url"": ""https://www.booking.com/hotel/vn/louisland.vi.html"", ""@type"": ""Hotel"", ""aggregateRating"": {""reviewCount"": 19, ""@type"": ""AggregateRating"", ""bestRating"": 10, ""ratingValue"": 8.9}, ""priceRange"": null, ""@context"": ""http://schema.org"", ""description"": ""Nhìn ra thành phố, Louisland Hanoi Hotel tọa lạc ở quận Cau Giay District thuộc Hà Nội, cách Trung tâm thương mại Vincom Nguyễn Chí Thanh 2."", ""name"": ""Louisland Hanoi Hotel"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/187020846.jpg?k=308f5038df347057a8d0cb9564511f916a816ed0abf3704150a73eebfa053c59&o=&hp=1""}"
